Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,04/22/2020,04/22/2020,GESTAMP,McCalla,76
Closing *,04/22/2020,04/22/2020,STAR AVIATION,Mobile,82
Layoff *,04/17/2020,04/17/2020,STANDARD FURNITURE,,95
Closing *,04/17/2020,06/15/2020,MONARCH WINDOWS & DOORS,Anniston,64
Layoff *,04/14/2020,03/20/2020,"HOOTERS OF AMERICA, LLC",,90
Closing *,04/14/2020,06/06/2020,CARBO CERMAICS INC,Eufaula,56
Closing *,02/14/2020,04/12/2020,RCX LOGISTICS,Theodore,66
Layoff *,02/06/2020,04/06/2020,WAITR AND BITE SQUAD,State-Wide,491
Closing *,01/31/2020,03/20/2020,FAURECIA,Tuscaloosa,166
Closing *,01/24/2020,03/31/2020,"FIS MANAGEMENT SERVICES, LLC",Northport,102
Closing *,01/10/2020,03/08/2020,WHOLE FOODS,Hoover,68
Closing *,10/31/2019,12/29/2019,FRONTIER SPINNING MILLS,Wetumpka,148
Closing *,10/18/2019,12/31/2019,KARDOES RUBBER,LaFayette,86
Layoff *,09/27/2019,12/31/2019,AMERIS BANK,Dothan,50
Closing *,09/17/2019,11/14/2019,FLOWERS BAKING CO.,Opelika,146
Closing *,08/05/2019,10/01/2019,INFORM DIAGNOSTICS,Daphne,72
Closing *,07/26/2019,09/23/2019,"THRYV, INC",Birmingham,111
Layoff *,07/26/2019,09/27/2019,BERRY GLOBAL,Montgomery,60
Closing *,06/06/2019,08/04/2019,GEORGIA PACIFIC,Monroeville,95
Closing *,05/16/2019,07/05/2019,JOYSON SAFETY SYSTEMS,Greenville,98
Closing *,04/17/2019,06/20/2019,HANTAL ALABAMA COMPANY,Montgomery,58
Layoff *,04/03/2019,06/05/2019,INTEVA PRODUCTS,Cottondale,56
Layoff *,04/03/2019,06/07/2019,EBERSPACHER,Northport,127
Layoff *,04/01/2019,05/31/2019,FAURECIA SEATING,Cottondale,118
Layoff *,03/29/2019,05/31/2019,STRYKER SUSTAINABILITY SOLUTIONS,Birmingham,181
Closing *,03/29/2019,03/27/2019,"JESSE CREEK MINING, LLC",Alabaster,152
Layoff *,01/31/2019,03/31/2019,STANDARD FURNITURE,Bay Minette,182
Closing *,01/09/2019,03/06/2019,WESTERN MARKET,Birmingham,107
Closing *,10/30/2018,12/31/2018,GLOBE METALLURGICAL,Selma,84
Closing *,10/17/2018,11/16/2018,JELD WEN WINDOWS AND DOORS,Ozark,80
Closing *,10/03/2018,12/03/2018,BORGERS USA,Vance,271
Closing *,09/28/2018,11/26/2018,REMBRANDT FOODS,Abbeville,55
Closing *,09/17/2018,09/14/2018,AC INCORPORATED,Lincoln,58
Layoff *,08/13/2018,08/24/2018,CHARTER COMMUNICATIONS,Birmingham,89
Layoff *,08/09/2018,09/28/2018,VALLEY SERVICES INC,Statewide,169
Closing *,07/18/2018,07/28/2018,VERIZON WIRELESS,Huntsville,151
Layoff *,07/16/2018,09/14/2018,STANDARD TEXTILE CO.,Enterprise,70
Layoff *,07/16/2018,09/07/2018,FEDERAL MOGUL,Jacksonville,47
Closing *,06/12/2018,06/12/2018,MASTERBRAND CABINETS,Auburn,445
Closing *,05/18/2018,07/17/2018,RMC - JACKSONVILLE,Jacksonville,207
Closing *,05/01/2018,06/30/2018,REXAM BEVERAGE CAN COMPANY,Birmingham,73
Closing *,04/16/2018,06/15/2018,KASAI NORTH AMERICA,Prattville,92
Layoff *,04/12/2018,06/15/2018,"NUTCRACKER BRANDS, INC",Dothan,66
Layoff *,04/12/2018,04/26/2018,VECTOR AEROSPACE,Andalusia,56
Closing *,03/19/2018,06/01/2018,"C&S WHOLESALE SERVICES, INC.",Montgomery,195
Layoff *,03/02/2018,04/14/2018,FEDERAL MOGUL,Jacksonville,65
Closing *,03/02/2018,04/29/2018,BAE SYSTEMS,Mobile,80
Closing *,02/28/2018,04/30/2018,"VOGUE INTERNATIONAL, LLC",Phenix City,150
Closing *,02/05/2018,06/02/2020,CORIZON HEALTH,State Wide,648
Closing *,02/01/2018,03/27/2018,ASM RESEARCH,Tuscaloosa,57
Closing *,02/01/2018,03/31/2018,"MHM SERVICES, INC",Vienna,276
Closing *,01/22/2018,03/31/2018,LIBERTY NATIONAL,Hoover,68
Closing *,01/22/2018,03/16/2018,SAMS CLUB #8212,Irondale,136
Layoff *,01/09/2018,01/22/2018,RUSSELL BRANDS (FRUIT OF THE LOOM),Alexander City,75
Closing *,01/09/2018,03/19/2018,"KADANT BLACK CLAWSON, LLC",Theodore,51
Layoff *,01/10/2017,03/17/2017,"BEAULIEU GROUP, LLC. - BRIDGEPORT FIBERS",Bridgeport,332
Closing *,11/27/2017,11/13/2017,AG MANUFACTURING,Wetumpka,104
Closing *,11/17/2017,12/31/2017,LAKELAND COMMUNITY HOSPITAL,Haleyville,87
Layoff *,11/16/2017,01/26/2018,"CAHABA GOVERMENT BENEFIT ADMINISTRATORS, LLC",Birmingham,264
Closing *,11/16/2017,01/12/2018,ANVIL INTERNATIONAL,Anniston,44
Layoff *,09/28/2017,12/15/2017,FEDERAL-MOGUL,Jacksonville,56
Layoff *,08/01/2017,11/17/2017,JABIL ALABAMA,Dothan,96
Closing *,07/24/2017,08/01/2017,PAR PHARMACEUTICALS,Huntsville,832
Layoff *,06/27/2017,08/25/2017,SIKORSKY,Troy,158
Layoff *,04/18/2017,06/19/2017,AT&T,Birmingham,134
Layoff *,04/07/2017,06/30/2017,DOLLAR EXPRESS,Montgomery,9
Closing *,12/06/2016,02/03/2017,JC PENNEY - MADISON SQUARE MALL,Huntsville,128
Layoff *,11/09/2016,03/25/2017,VERIZON WIRELESS,Huntsville,175
Layoff *,08/04/2016,09/29/2016,NEMAK USA,Sylacauga,206
Layoff *,07/18/2016,09/30/2016,"ANADARKO INDUSTRIES, LLC.",Huntsville,14
Layoff *,05/23/2016,07/25/2016,SITEL OPERATING CORPORATION,Andalusia,308
Closing *,05/17/2016,07/16/2016,"SHAW INDUSTRIES GROUP, INC.",Valley Head,183
Layoff *,05/06/2016,05/31/2016,"SODEXO, INC.",Florence,105
Closing *,05/16/2016,07/15/2016,CVG - COMERCIAL VEHICLE GROUP,Piedmont,156
