Employer,City,Zip,LWIB Area,Notice Date
VT Services,Ft. Huachuca,85613,1,01/31/2012
"Hostess Brands, Inc.",Benson,856026306,1,05/04/2012
"Aegis Communications Group, Inc.",Irving,75063,1,04/29/2013
General Dynamics Information Technology,Fort Huachuca,85613,1,02/26/2019
Raytheon,Sierra Vista,85635,1,03/28/2019
Raytheon Company,Sierra Vista,85635,1,06/06/2019
Northrop Grumman,Falls Church,22042,1,03/09/2020
L'Auberge de Sedona,Sedona,85600,10,04/03/2020
The Orchards,Sedona,85600,10,04/03/2020
Pink Adventure Tours,Sedona,86336,10,04/14/2020
Essity North America LLC,Bellemont,86015,10,09/18/2018
"SCA Tissue NA, LLC",Flagstaff,86001,10,06/08/2017
Xanterra L.L.C.,Grand Canyon,86023,10,10/29/2014
"Haggen, Inc.",Irvine,92618,10,08/14/2015
"Golden EagleDistributors, Inc.",Tucson,27506,10,01/11/2016
Walgreen Co.,Flagstaff,86004,10,10/20/2014
Hostess Brand Inc.,Flagstaff,860044216,10,05/04/2012
"Hostess Brands, Inc.",Ehrenberg,85334,11,05/04/2012
"Hostess Brands, Inc.",Fort Mohave,86426,11,05/04/2012
"Hostess Brand, Inc.",Lake Havasu City,864042401,11,05/04/2012
"Hostess Brands, Inc.",Kingman,86401,11,05/04/2012
Hualapai Mountain Medical Center,Kingman,86401,11,08/26/2011
Coach-Net Services Group,Lake Havasu City,86403,11,07/27/2010
"Mojave Desert Minerals, LLC",Arvada,80002,11,07/12/2012
Guardian Building Products,Greer,29651,11,10/15/2012
Management & Training Corporation,Centerville,84014,11,10/28/2015
Mineral Park Inc.,Golden Valley,86413,11,12/29/2014
Suddenlink Communications,Lake Havasu,86403,11,08/03/2017
Interagency Council,Lake havasu City,86403,11,06/13/2018
Spectra -Blue Water Resort & Casino,Parker,85344,11,04/01/2019
Cascades,Kingman,86401,11,10/30/2019
Leidos,Prescott Valley,86314,12,05/03/2019
Sams Club,Prescott Valley,86314,12,01/11/2018
Life Care Centers of America,Cleveland,37320,12,04/30/2015
Life Care Centers of America,Cleveland,37320,12,04/30/2015
"Haggen, Inc.",Irvine,92618,12,08/14/2015
Fortner Aerospace/PCC Aerostuructures,Prescott,86301,12,12/04/2013
"Hostess Brands, Inc.",Chino Valley,86323,12,05/04/2012
Hines Nurseries,Chino Valley,86323,12,10/06/2010
"Hostess Brands, Inc.",Showlow,85901,14,05/04/2012
Catalyst Paper Inc.,Snowflake,85937,14,07/30/2012
The Apache Railway Company Inc.,Snowflake,85937,14,07/30/2012
ASARCO Grupo Mexico,Tucson,85711,14,08/21/2015
Freeport-McMoRan,Phoenix,85004,14,08/27/2015
"Golden EagleDistributors, Inc.",Tucson,27506,14,01/11/2016
Peabody Western Coal Company,kayenta,86033,14,06/13/2019
"Chevron Mining, Inc. McKinley Mine",Gallup,87305,15,02/08/2012
Albertson's Store #968,Casa Grande,85222,2,01/06/2012
"Hostess Brands, Inc.",Globe,85901,2,05/04/2012
"Hostess Brand, Inc.",Payson,85901,2,05/04/2012
Carlota Copper Company,Miami,85539,2,08/01/2011
"Hostess Brands, Inc.",Casa Grande,852225203,2,05/04/2012
Cementation,Sandy,84070,2,12/10/2012
SSI,Shelton,06484,2,12/18/2012
"Golden EagleDistributors, Inc.",Tucson,27506,2,01/11/2016
Safeway,Phoenix,85072,2,05/04/2015
Sams Club,Casa Grande,85122,2,01/11/2018
La Palma Correctional Facility,Eloy,85131,2,02/22/2019
ASARCO Grupo Mexico,Tucson,85711,2002,02/11/2016
Denny's (Beshay Enterprises),Murrieta,92562,2003,03/23/2020
Hexcel,Casa Grande,85122,2003,04/20/2020
Arizona Grand Resort,Phoenix,85044,5,05/04/2020
Avis Budget,Phoenix,85034,5,04/08/2020
"Flying Food Group, LLC",Phoenix,85003,5,04/10/2020
"Tufesa USA, LLC",Phoenix,85009,5,04/15/2020
Renaissance Phoenix Downtown Hotel,"Phoenix, Arizona",85004,5,06/01/2020
Papersource,Pheonix,85016,5,03/27/2020
Ahern Rentals Inc.,Phoenix,85006,5,03/28/2020
Pappas Restaurants,Phoenix,85003,5,03/25/2020
Residence Inn/Courtyard Phoenix Downtown,Phoenix,85004,5,03/27/2020
Specialty Textile,Phoenix,85007,5,03/30/2020
SAS Restaurant Ventures (Denny's),Phoenix,85022,5,03/31/2020
Punch Bowl social,Phoenix,85004,5,03/18/2020
"Cameron Mitchell Restaurants, LLC",Columbus,85054,5,03/24/2020
Denny's (Beshay Enterprises),Murrieta,92562,5,03/23/2020
Denny's (Beshay Enterprises),Murrieta,92562,5,03/23/2020
Denny's (Beshay Enterprises),Murrieta,92562,5,03/23/2020
Denny's (Beshay Enterprises),Murrieta,92562,5,03/23/2020
Denny's (Beshay Enterprises),Murrieta,92562,5,03/23/2020
Best Western Hotels & Resorts,Phoenix,85016,5,03/25/2020
Onni Properties,Phoenix,85019,5,03/25/2020
Drive Time,Phoenix,85040,5,03/27/2020
Embassy Suites Tempe,Tempe,85282,5,03/18/2020
Cognizant,Phoenix,85021,5,12/18/2019
Bella Fresh,Phoenix,85043,5,02/05/2020
HotChalk,Phoenix,85034,5,02/25/2020
St Luke's Medical Center,Phoenix,85006,5,10/25/2019
Valassis,Phoenix,86034,5,10/23/2019
Nestle USA and Nestle Dryers Ice Cream l,Phoenix,85004,5,08/16/2019
District medical Group (DMG),Phoenix,85008,5,11/14/2019
Katerra,Phoenix,85043,5,12/03/2019
Oakwood Worldwide US LP,Phoenix,85021,5,10/29/2019
Hard Rock Cafe International,Phoenix,85004,5,12/28/2019
Vitron manufacturing solutions,Phoenix,85053,5,01/06/2016
ARRIS Group Inc.,Suwanee,30024,5,08/24/2016
AT&T,Phx,85027,5,11/29/2016
GO Digital,Phx,85004,5,11/17/2016
"DAL Global Services, LLC",Atlanta,303206001,5,11/16/2015
"Philidor Rx Services, LLC",Hatboro,19040,5,01/05/2016
"Beck, Chaet, Bamberger,& Polsky, S.C.",Milwaukee,53202,5,08/14/2015
ATSCO Remanufacturing Inc.,Daphne,36526,5,08/26/2015
Life Care Centers of America,Cleveland,37320,5,04/30/2015
Quality Care Network,Phoenix,85034,5,07/28/2015
"Ameron International, Inc.",Phoenix,85034,5,07/31/2015
Atkore International,Harvey,60426,5,08/06/2015
Calvery Staffing,Phoenix,95040,5,08/04/2015
Arizona Grand Senior Living Community,Phoenix,85016,5,12/30/2014
"Transworld Systems, Inc (TSI)",Phoenix,85027,5,03/26/2015
Todds (Div of H.J. Heinz Co. L.P.,Phoenix,85043,5,04/01/2015
Primary Financial Services,Phoenix,85013,5,10/06/2014
Intercontinental Exchange NYSE,Chicago,60606,5,03/23/2015
"Prospect Enterprises, Inc.",Los Angeles,90021,5,04/27/2015
"Marriott International, Inc.",Bethesda,20817,5,05/18/2015
"Philosophy, Inc.",Phoenix,85034,5,04/17/2015
"Philosophy, Inc.",Phoenix,85034,5,04/17/2015
AT&T,Phoenix,85044,5,06/14/2018
DialAmerica Marketing,Phoenix,85040,5,03/04/2019
Sodexo,Phoenix,85034,5,01/18/2019
Safeway 1202,Phoenix,85022,5,06/18/2018
G/O Digital,Phoenix,85004,5,09/20/2018
Dream Center Education Holdings,Phoenix,85201,5,06/29/2018
C & W Services,Dallas,75254,5,07/03/2018
Abrazo Scottsdale Campus,Phoenix,85032,5,07/13/2018
Gannett Satellite Information Network,Phoenix,85004,5,09/26/2018
Southwest Key Programs Inc.,Austin,78721,5,10/31/2018
Ulta Beauty,Phoenix,85043,5,11/13/2018
Marriott,Phoenix,85004,5,04/03/2018
Conifer Health Solutions,Phoenix,85020,5,02/28/2019
Unitedhealth Group,Phoenix,85021,5,11/02/2017
Xchange Leasing LLC (XCL),Phoenix,85012,5,10/31/2017
Albertsons,Phoenix,85028,5,01/05/2018
TENET Healthcare Corp.,Phoenix,85020,5,03/04/2019
ABB Inc.,Phoenix,85034,5,05/31/2016
Kellogg's,Battle Creek,49016,5,05/26/2017
Whole Foods,Phoenix,85028,5,02/10/2017
Phoenix Children's Hospital,Phoenix,85016,5,01/29/2013
TriWest Healthcare Alliance,Phoenix,85053,5,12/10/2012
CenturyLink,New Century,66031,5,02/26/2014
General Dynamics Information Technology,Fairfax,22031,5,03/06/2014
PaperWorks,Bala Cynwyd,19004,5,01/31/2014
Magellan,Phoenix,85034,5,01/27/2014
GE Capital,Phoenix,85040,5,01/15/2014
"THQ, Inc.",Agoura Hills,91301,5,07/19/2012
HMSHost,Phoenix,85034,5,10/29/2012
Kmart Corporation,Hoffman Estates,80179,5,10/15/2014
Thunderbird School of Global Management,Glendale,85306,5,10/09/2014
"Benchmark Electronics Phoenix, Inc.",Phoenix,85023,5,10/30/2014
Anthem Education,Fort Lauderdale,33334,5,07/15/2014
Aramark,Anaheim,92807,5,09/09/2013
Maricopa Integrated Health System (CCC),Phoenix,85008,5,04/25/2014
Acosta Sales & Marketing,Brea,92821,5,06/19/2014
Delaware North Companies Travel Hospitality Serv,Buffalo,14202,5,12/20/2013
GNC Live Well,Phoenix,85043,5,10/10/2013
Cody Inc.,Phoenix,85034,5,08/01/2013
Magna Cosma pwer Systems,Phoenix,85043,5,05/20/2013
Kmart,Hoffman Estates,60179,5,08/29/2013
Greenbrier Rail Services,Lake Oswego,97035,6,05/05/2013
Intuit,Mountain View,94043,6,07/10/2013
Geneeral Dynamics Information Technology,Fairfax,22030,6,07/17/2013
"Global Solar Energy, Inc.",Tucson,85747,6,07/19/2012
"Video Monitoring Services of America, LP",Tucson,85711,6,08/26/2011
"American Airlines, Inc.",Tucson,85706,6,05/01/2012
"marriott International, Inc.",Bethesda,20817,6,08/30/2012
Bridgeway Health Solutions,Tucson,85714,6,07/29/2011
SOLON Corporation,Tucson,85756,6,08/15/2011
Hometown America,Apache Junction,85219,6,05/31/2011
"Hostess Brands, Inc.",Tucson,857055930,6,05/04/2012
CEMEX,Tucson,85743,6,11/22/2010
CardWorks Processing LLC,Tucson,85711,6,12/01/2011
"TCIM Services, Inc.",Tucson,85705,6,11/01/2011
OTG Management Tucson LLC,Tucson,85756,6,12/27/2016
livingsocial,Washington,20005,6,03/16/2016
Rockwell collins,Tucson,85710,6,10/19/2017
Rockwell Collins,Tucson,85710,6,03/26/2018
Schletter Inc.,Shelby,28150,6,04/25/2018
Concentrix Corporation,Tucson,85705,6,04/05/2019
Alorica,Tucson,85756,6,01/25/2019
Albertsons Store 959,Tucson,85710,6,06/18/2018
Safeway #1985,Tucson,85742,6,01/04/2019
Kmart #04996,Hoffman Estates,60192,6,12/27/2018
Radisson Suites Hotel Tucson,Tucson,85710,6,03/29/2019
Target Corporation,Tucson,85711,6,03/01/2019
"Haggen, Inc.",Irvine,92618,6,08/14/2015
"Haggen, Inc.",Irvine,92618,6,08/14/2015
Community Partners Inc,Tucson,85711,6,07/27/2015
Life Care Centers of America,Cleveland,37320,6,04/30/2015
Life Care Centers of America,Cleveland,37320,6,04/30/2015
Life Care Centers of America,Cleveland,37320,6,04/30/2015
Freeport-McMoRan Sierrita Inc.,Phoenix,85004,6,10/22/2015
"Golden EagleDistributors, Inc.",Tucson,27506,6,01/11/2016
Arizona Daily Star,Tucson,85714,6,03/21/2019
Compass USA - St Mary' Hospital,Tucson,85745,6,12/30/2019
Compass USA - St Joseph's,Tucson,85711,6,12/30/2019
"Compass USA - Holy Cross",Tucson,85621,6,12/30/2019
Global Solar,Tucson,85747,6,10/24/2019
Dun & Bradstreet,Tucson,85701,6,10/29/2019
Dyncorp,Tucson,85704,6,01/15/2020
TMI Acquisitions LLC,Tucson,85713,6,01/10/2020
Roadhouse cinemas,Tucson,85712,6,03/18/2020
Ares Collective Restaurants,Tucson,85715,6,03/23/2020
Sam Levits,Tucson,85705,6,03/25/2020
Movement for Life Inc.,San Obispo,93401,6,03/25/2020
Cinemark,Tucson,85713,6,04/01/2020
Tanque Verde Ranch,Tucson,85748,6,03/27/2020
Sushi Tucson,Tucson,85717,6,04/05/2020
RA Mesa Corp,Mesa,85204,6,04/05/2020
RA Kierland Restaurant,Scottsdale,85254,6,04/05/2020
Loews Ventana Canyon Resort,Tucson,85750,6,05/29/2020
Tucson Marriott University park,Tucson,85719,6,03/26/2020
Prospect,Phoenix,85034,7,04/09/2020
Yelp,Scottsdale,85251,7,04/09/2020
Open Door,Scottsdale,85251,7,04/15/2020
Huhtamaki,Googyear,85338,7,04/16/2020
GBT US LLC,Scottsdale,85254,7,04/13/2020
The Scott Resort and Spa,Scottsdale,85251,7,05/04/2020
James River Insurance Company,Scottsdale,85254,7,05/15/2020
Vision Works,Chandler,85226,7,04/23/2020
LM Industries,Chandler,85226,7,05/01/2020
"Guess?, Inc",Glendale,85305,7,04/13/2020
Benihana Scottsdale,Scottsdale,85254,7,04/05/2020
Benihana Chandler,Chandler,85226,7,04/05/2020
Benihana Mid town,Scottsdale,85251,7,04/05/2020
Benihana Ahwatukee,Phoenix,85044,7,04/05/2020
Suit Supply,Scottsdale,85254,7,04/08/2020
Medieval Times Dinner & Tournament,Scottsdale,85258,7,04/08/2020
Mind Body,Scottsdale,85257,7,04/07/2020
Great Wolf Lodge,Scottsdale,85258,7,03/30/2020
McCormick Scottsdale,Scottsdale,85253,7,03/30/2020
King's Seafood Company LLC,Tempe,85281,7,03/24/2020
Saddle Ranch Chop House,Glendale,85305,7,03/27/2020
Zip Recruiter,Santa Monica,90401,7,03/27/2020
civana,Carefree,85377,7,04/03/2020
civana,Carefree,85377,7,04/03/2020
Surprise Honda,Surprise,85388,7,03/25/2020
KDC Construction,Irvine,92606,7,03/20/2020
Islands Restaurants,Phoenix,85050,7,03/23/2020
Sub-Zero Group Inc,Goodyear,85340,7,03/20/2020
International Cruise & Excursion Gallery,Scottsdale,85256,7,03/24/2020
Surprise Honda,Surprise,85388,7,03/24/2020
Phoenix Glendale Renaissance,Glendale,85305,7,03/26/2020
Four Seasons Resort,Scottsdale,85262,7,03/20/2020
Go Rentals,Newport,92660,7,03/23/2020
Passport Health,Scottsdale,85262,7,03/23/2020
Pima Valve,Chandler,85226,7,03/18/2020
Aecom,Glendale,85310,7,01/17/2020
Transportation Brokerage Specialists Inc (TBS),Costa Mesa,92626,7,02/20/2020
Transportation Brokerage Specialists Inc (TBS),Costa Mesa,92626,7,02/20/2020
Walmart,Tempe,85281,7,06/12/2019
Alorica - Mesa,Mesa,85203,7,08/28/2019
Katerra,Scottsdale,85258,7,10/09/2019
Safeway #2676,Mesa,85209,7,10/18/2019
Albertsons 2929,Gilbert,85297,7,06/21/2019
Safeway 1126,Scottsdale,85259,7,06/21/2019
Wells Fargo,Charlotte,28215,7,07/18/2019
viant Medical LLC,Tempe,85282,7,07/25/2019
Aecom,Luke AFB,85012,7,07/29/2019
"Insys Therapeutics, Inc",Chandler,85224,7,08/09/2019
Conair Corporation,Stamford,06902,7,05/13/2019
Albertsons/Safeway 0940,Tempe,85283,7,04/26/2019
Safeway 1567,Mesa,85213,7,04/26/2019
Ditech Financial LLC,Tempe,85282,7,12/16/2019
First Solar,Tempe,85281,7,10/30/2019
AMR Patient Advocacy Group - AZ,Scottsdale,85258,7,10/31/2019
Paradigm Precision,Tempe,85283,7,11/14/2019
CMA CGM (America) LLC,Scottsdale,85254,7,01/03/2020
"Macy's Credit and Customer Services, Inc.",Tempe,85281,7,01/06/2020
MAPFRE Insurance - Enterprise Contact Center,Gilbert,85234,7,01/13/2020
Walter Investment Managment Corp,Jacksonville,32202,7,10/28/2015
"Golden EagleDistributors, Inc.",Tucson,27506,7,01/11/2016
"Golden EagleDistributors, Inc.",Tucson,27506,7,01/11/2016
"Marvell Semiconductor, Inc.",Santa Clara,94054,7,10/16/2015
Jabil,Tempe,85281,7,09/05/2013
Littler Employment & labor Solutiions Worldwide,Atlanta,30326,7,08/14/2015
Theranos,scottsdale,85257,7,10/06/2016
"Hanjin Shipping America, LLC",Chandler,85224,7,10/12/2016
Marriott/Starwood Scottsdale Office,Scottsdale,85254,7,11/29/2016
ARRIS Group Inc.,Suwanee,30024,7,08/24/2016
ARRIS Group Inc.,Suwanee,30024,7,08/24/2016
RICOH USA Inc.,Malvem,19355,7,09/01/2016
Theranos,Palo Alto,94304,7,10/06/2016
DataSphere Technologies,Bellevue,98008,7,05/30/2016
"Advantage Logistics Southwest, Inc.",Phoenix,85043,7,06/06/2016
GENCO,Pittsburgh,15238,7,03/29/2016
ZMC,Scottsdale,85258,7,05/02/2016
Aeroturbine,Miramar,33027,7,01/27/2016
Intel Corporation,Santa Clara,95054,7,04/25/2016
Intel Corporation,Santa Clara,95054,7,04/25/2016
Safeway,Phoenix,85072,7,05/04/2015
Life Care Centers of America,Cleveland,37320,7,04/30/2015
Life Care Centers of America,Cleveland,37320,7,04/30/2015
Life Care Centers of America,Cleveland,37320,7,04/30/2015
Life Care Centers of America,Cleveland,37320,7,04/30/2015
Staples,Framingham,07102,7,06/26/2015
"Haggen, Inc.",Irvine,92618,7,08/14/2015
Life Care Centers of America,Cleveland,37320,7,04/30/2015
Zenith Education Group,Tampa,33610,7,04/27/2015
Captial Group Companies Global,Scottsdale,85254,7,04/22/2015
GT Advanced Technologies,Mesa,85212,7,10/16/2014
Margaritaville,Orlando,32819,7,11/12/2014
United Recovery systems,Houston,77072,7,03/31/2015
"Enterprise Recovery Ststems, Inc",Oak Brook,60523,7,03/31/2015
Spectrum Pharmaceuticals,Henderson,89052,7,03/01/2019
Dexcom,San Diego,92121,7,02/26/2019
Invitation Homes,Scottsdale,85255,7,01/16/2019
Western Refining,Tempe,85281,7,04/10/2019
Systems Solutions of Kentucky,Goodyear,85395,7,02/19/2019
Tesla,Phoenix,85040,7,01/29/2019
Web.com group Inc,jacksonville,32258,7,02/01/2019
Safeway 1636,Glendale,85306,7,06/18/2018
Marvell Semiconductors Inc.,Chandler,85286,7,07/09/2018
Turn-Key Solutions,Glendale,85306,7,11/20/2018
Sears Tempe Call Center,Tempe,85284,7,10/01/2018
Southwest Key Programs Inc.,Austin,78721,7,10/31/2018
GenRx Phamacy,Scottsdale,85255,7,09/19/2018
Direct Energy,Houston,77046,7,04/30/2018
TSI corporation,Las Vegas,89106,7,05/29/2018
UBER,Tempe,85281,7,05/29/2018
Hawrhorne Gardening,Chandler,85226,7,06/06/2018
Sams Club,Chandler,85225,7,01/11/2018
Marriott,Bethesda,20817,7,11/29/2017
Western Refining,San Antonio,78259,7,02/28/2018
Boyd Coffee Company,Tempe,85282,7,03/22/2018
Sams Club,Scottsdale,85251,7,01/11/2018
Select Medical Corporation,Mechanicsburg,17055,7,08/03/2016
ManpowerGroup,Milwaukee,53212,7,08/04/2016
Albertson Company #1026,Surprise,85374,7,01/06/2017
Albertson Company #969,Scottsdale,85260,7,01/06/2017
Zenefits,San Francisco,94107,7,02/09/2017
Manpower Group,Milwaukee,53212,7,03/17/2017
Da Vita Rx,Coppell,75019,7,04/19/2017
"Royal Remanufacturing, LLC",St. Louis,63124,7,04/25/2017
"Healthways, Inc.",Phoenix,85044,7,11/16/2011
International Bedding,Tolleson,85353,7,10/21/2011
Milgard Windows & Doors,Chandler,85225,7,10/17/2011
"Kmart Store # 4269",Phoenix,85019,7,10/15/2011
UTi Intergrated Logistics,Phoenix,85043,7,12/12/2011
Whirlaway Corporation,Tempe,85282,7,08/10/2010
"Citigroup, Inc.",Phoenix,85044,7,07/30/2010
"AB Car Rental Services, Inc.",Phoenix,85034,7,09/28/2010
Xanodyne Pharamaceuticals,Gilbert,85007,7,09/21/2010
"O'Reilly Automotive, Inc.",Phoenix,85043,7,09/09/2010
Microsemi Corporation,Phoenix,85251,7,07/12/2010
Crowne Plaza Hotel,Phoenix,85029,7,06/30/2010
Embassy Suites Hotel (Phoenix),Phoenix,85008,7,06/14/2010
Marketfare Foods,Phoenix,85034,7,06/11/2010
ATC/Vancom of Arizona L.P. dba Veolia Tranport.,Phoenix,85003,7,04/28/2010
Palm Harbor Homes,Tempe,85821,7,11/19/2010
Plastican division of BWAY Corporation,Phoenix,85009,7,11/17/2010
Pulte Building Services (PBS),Tolleson,85353,7,11/12/2010
Wells Fargo,Chandler,85286,7,03/26/2012
Schuff Steel Company,Gilbert,85233,7,02/24/2012
SCAN Health Plan Arizona,Phoenix,85014,7,02/29/2012
Armor Works,Chandler,85226,7,03/12/2012
"The Great Indoors #1901",Scottsdale,85254,7,04/18/2012
The Great Indoors #1913,Chandler,85226,7,04/18/2012
International Window Arizona,Phoenix,85040,7,12/30/2010
Kaplan University,Phoenix,85008,7,12/07/2010
John C. Lincoln Health Network's North Mountain,Phoenix,85020,7,12/06/2010
ZipRealty,Phoenix,85018,7,11/29/2010
"Hostess Brands, Inc.",Mesa,852038033,7,05/04/2012
"Hostess Brands, Inc.",Phoenix,850221107,7,05/04/2012
"Hostess Brands, Inc.",Phoenix,850094720,7,05/04/2012
"Hostess Brand, Inc.",Chandler,852251125,7,05/04/2012
"Hostess Brands, Inc.",Phoenix,850408810,7,05/04/2012
Abrazo Health Care,Chandler,85224,7,01/07/2011
Vulcan Materials Company,Laveen,85339,7,03/18/2011
Covance Laboratories Inc.,Chandler,852861703,7,05/02/2012
MetLife,Scottsdale,85260,7,05/01/2012
"O.P.E.N. America, Inc. dba: OpenWorks",Phoenix,85043,7,05/01/2012
Republic National Distributing Company,Phoenix,85043,7,05/27/2011
Deluxe Corporation,Phoenix,850347244,7,05/24/2011
Ameron International Phoenix Division,Phoenix,85034,7,04/06/2011
Robb & Stucky Limited LLLP,Scottsdale,85254,7,03/09/2011
"ShelterClean of Arizona, Inc.",Phoenix,85034,7,08/15/2011
"THQ, Inc. Digital Studio Phoenix",Phoenix,85016,7,08/08/2011
Cellco Partnership dba Verizon Wireless,Phoenix,85044,7,07/27/2011
Supervalu Logistics,Phoenix,85043,7,07/12/2011
Mike Campbell & Associates,Phoenix,85009,7,07/06/2011
"DeVry, Inc.",Phoenix,85021,7,06/17/2011
"Semiconductor Component Industries, LLC dba ON Sem",Phoenix,85008,7,06/03/2011
"Superior Technical Resources, Inc.",Phoenix,85008,7,06/02/2011
"Bada Bing Bakery LLC, dba Chompie's Baking Co.",Phoenix,85034,7,03/16/2012
Heracus Materials Technology North America LLC,Chandler,85226,7,03/01/2013
"The Cheesecake Factory. Grand Lux Cafe, LLC",Calabasas Hills,91301,7,01/17/2013
"Blue Chip southwest, LLC",Walnut Creek,94598,7,01/24/2014
Albertsons LLC,Tolleson,85353,7,01/13/2014
Macy'S,Mesa,85202,7,01/08/2014
"Schenker, Inc.",Phoenix,85040,7,09/16/2011
"Asset Acceptance, LLC",Warren,48093,7,09/10/2012
