Track #,Notification Date,Layoff Type,Count,Employer,City,Notice
6751,05/22/2020,Temporary Layoff,131,Interfor,"Peachtree City, GA",
6692,05/18/2020,Temporary Layoff,,Happy Guests Intl. - Salty's,Portland,
6596,05/14/2020,Permanent closure,189,Nordstrom,"Seattle, WA",
6551,05/06/2020,Large Layoff - 10 or more workers,211,Bright Wood,Madras,
6469,05/04/2020,Reduction,388,IVI Hotel Management of Oregon - Innventures,"Tukwila, WA",
6468,05/04/2020,Permanent closure,39,DAKINE,Hood River,
6465,05/04/2020,Reduction,96,Portland Art Museum,Portland,
6462,05/04/2020,Large Layoff - 10 or more workers,84,Hertz,"Estero, FL",
6352,04/30/2020,Large Layoff - 10 or more workers,118,Meggitt - Oregon Inc,Mcminnville,
6321,04/29/2020,Other,68,Regal,"Knoxville, TN",
6271,04/28/2020,Temporary Layoff,17,Adventist Health - Tillamook,Tillamook,
6183,04/23/2020,Large Layoff - 10 or more workers,354,Enterprise Holdings,Tualatin,
6065,04/23/2020,Other,103,Visionworks,"San Antonio, TX",
6064,04/23/2020,Large Layoff - 10 or more workers,111,Oksenholt Hospitality Company - Meredith Lodging,Lincoln City,
5781,04/21/2020,Temporary Layoff,186,Women's Healthcare Associates,Portland,
5779,04/21/2020,Temporary Layoff,62,Enterprise Holdings,Tualatin,
5668,04/20/2020,Temporary Layoff,52,Augusta Sportswear Brands,"Grovetown, GA",
5587,04/17/2020,Other,427,The Portland Clinic,Portland,
5407,04/14/2020,Temporary Layoff,74,JIPC Beaverton LLC dba John's Incredible Pizza Company,"Rancho Santa Margarita, CA",
5037,04/10/2020,Temporary Layoff,48,Andale Management Group dba The Country Cat (PDX),Portland,
4957,04/10/2020,Temporary Layoff,60,Eagle Crest Resort,Redmond,
4956,04/10/2020,Large Layoff - 10 or more workers,635,Multnomah Athletic Club,Portland,
4764,04/09/2020,Other,820,The Oregon Clinic,Portland,
4763,04/08/2020,Other,80,Allura,"Houston, TX",
4762,04/08/2020,Reduction,227,VIPS Industries Inc,Salem,
4522,04/07/2020,Temporary Layoff,46,Landmark Ford Lincoln,Tigard,
4388,04/06/2020,Reduction,232,EVRAZ,"Chicago, IL",
4381,04/06/2020,Other,531,Pac-12 Enterprises dba Pac-12 Networks,"San Francisco, CA",
4337,04/03/2020,Temporary Layoff,120,Big Al's II,Beaverton,
4334,04/03/2020,Temporary Layoff,54,Carr Auto Group,Beaverton,
4323,04/03/2020,Reduction,57,Benihana,Beaverton,
4198,04/02/2020,Reduction,471,RLK Co. Timberline Lodge,Government Camp,
4169,04/01/2020,Temporary Layoff,8,Shamrock Foods Co.,Portland,
4091,04/01/2020,Temporary Layoff,32,SAS Restaurant Ventures,Ontario,
4079,04/01/2020,Temporary Layoff,26,Paper Source - Portland,Portland,
4075,03/31/2020,Permanent closure,77,FXI Inc,Portland,
4073,03/31/2020,Temporary Layoff,415,SAGE,Portland,
4038,03/31/2020,Temporary Layoff,50,Meritex Portland Central Laundry,Portland,
3961,03/31/2020,Reduction,1,Ahern Rentals,Portland,
3939,03/30/2020,Temporary Layoff,53,ORM Fertility,Portland,
3933,03/30/2020,Temporary Layoff,63,Gee Automotive dba Ron Tonkin Toyota & Mazda,Portland,
3915,03/30/2020,Temporary Layoff,10,ALSCO - Medford,Medford,
3842,03/30/2020,Temporary Layoff,115,Valley River Inn,Eugene,
3701,03/27/2020,Temporary Layoff,31,ALSCO,Portland,
3693,03/27/2020,Temporary Layoff,248,Deschutes Brewery Public Rooms,Bend,
3682,03/27/2020,Reduction,89,Deschutes Brewery - HQ,Bend,
3577,03/27/2020,Temporary Layoff,43,ALSCO,Portland,
3485,03/26/2020,Temporary Layoff,117,Blazer Industries Inc,Aumsville,
3470,03/26/2020,Reduction,78,Beaverton Toyota,Beaverton,
3362,03/25/2020,Temporary Layoff,52,Pineapple Hospitality Company,"Bellevue, WA",
3360,03/25/2020,Temporary Layoff,58,ALSCO,Eugene,
3192,03/25/2020,Temporary Layoff,6,Lynx,Aurora,
3179,03/25/2020,Temporary Layoff,114,Next Adventure,Portland,
2877,03/24/2020,Permanent closure,44,Stanford's Restaurant and Bar,"Bellevue, WA",
2876,03/24/2020,Temporary Layoff,174,Stanford's Restaurant and Bar,"Bellevue, WA",
2840,03/24/2020,Temporary Layoff,32,HMS Host,Portland,
2770,03/24/2020,Large Layoff - 10 or more workers,792,Tualatin Hills Park & Recreation District,Beaverton,
2769,03/24/2020,Temporary Layoff,82,The Children's Clinic,Portland,
2768,03/24/2020,Temporary Layoff,59,Marriott City Center,Portland,
2756,03/23/2020,Temporary Layoff,119,Spieg's Barbers LLC,"Vancouver, WA",
2754,03/18/2020,Temporary Layoff,109,Holler Hospitality,Portland,
2753,03/23/2020,Temporary Layoff,14,Salon DeLange,Eugene,
2720,03/20/2020,Temporary Layoff,172,Jasper's Food Management Inc,Eugene,
2710,03/23/2020,Temporary Layoff,96,Brasada Ranch,Powell Butte,
2675,03/19/2020,Large Layoff - 10 or more workers,389,Powell's City of Books,Portland,
2662,03/19/2020,Large Layoff - 10 or more workers,83,Punch Bowl Portland LLC,Portland,
2661,03/19/2020,Temporary Layoff,296,Elmer's Restaurants Inc,Portland,
2614,02/21/2020,Large Layoff - 10 or more workers,78,Delivery Force Corp.,"Kent, WA",
2612,02/19/2020,Large Layoff - 10 or more workers,52,Transportation Brokerage Specialists Inc,"Costa Mesa, CA",
2608,02/12/2020,Large Layoff - 10 or more workers,1012,Concordia University,Portland,
2607,02/11/2020,Large Layoff - 10 or more workers,84,arauco,Eugene,
2599,01/16/2020,Large Layoff - 10 or more workers,69,moovel North America,Portland,
2597,01/27/2020,Large Layoff - 10 or more workers,60,Philips North America LLC - Electrical Geodesics Inc,"Pleasanton, CA",
2596,01/27/2020,Large Layoff - 10 or more workers,301,Mr Cooper,"Coppell, TX",
2591,01/13/2020,Large Layoff - 10 or more workers,14,Adventist Health Tillamook,Tillamook,
2589,01/09/2020,Large Layoff - 10 or more workers,280,"Unified Natural Foods, Inc. (UNFI)",Milwaukie,
2566,12/02/2019,Permanent closure,38,NORPAC Foods Inc. - Corporate,Salem,
2562,11/20/2019,Large Layoff - 10 or more workers,92,NortonLifeLock Inc.,"Tempe, AZ",
2555,11/14/2019,Large Layoff - 10 or more workers,458,NORPAC FOODS - Salem Repack,Salem,
2554,11/14/2019,Large Layoff - 10 or more workers,466,NORPAC FOODS INC - Brooks Plant,Salem,
2553,11/13/2019,Large Layoff - 10 or more workers,40,Republic Services,Oregon City,
2547,10/31/2019,Large Layoff - 10 or more workers,93,Owens-Brockway Glass Container Inc,"Perrysburg, OH",
2544,10/30/2019,Small Layoff  1 – 10 workers,2,Oakwood,"Long Beach, CA",
2538,10/28/2019,Large Layoff - 10 or more workers,57,"Sightbox, Inc.",Portland,
2535,10/24/2019,Large Layoff - 10 or more workers,75,Pacifica Beauty,Portland,
2534,10/22/2019,Large Layoff - 10 or more workers,107,McAfee,"Plano, TX",
2521,10/02/2019,Small Layoff  1 – 10 workers,4,Cerner,Portland,
2515,09/26/2019,Large Layoff - 10 or more workers,220,Schenker Inc,"Chesapeake, VA",
2498,09/05/2019,Large Layoff - 10 or more workers,485,NORPAC FOODS INC,Salem,
2496,09/03/2019,Large Layoff - 10 or more workers,53,Nestle,"Arlington, VA",
2495,08/30/2019,Large Layoff - 10 or more workers,90,EVG Holdings,Grass Valley,
2494,08/22/2019,Large Layoff - 10 or more workers,29,Symantec,"Tempe, AZ",
2489,08/16/2019,Large Layoff - 10 or more workers,73,"welocalize, Inc.",Portland,
2483,08/12/2019,Large Layoff - 10 or more workers,20,Stanley Black & Decker,Portland,
2476,07/29/2019,Large Layoff - 10 or more workers,72,The Salvation Army,"Long Beach, CA",
2442,06/13/2019,Large Layoff - 10 or more workers,303,iQor US Inc dba TechFive LLC,Klamath Falls,
2435,05/30/2019,Large Layoff - 10 or more workers,195,Harry's Fresh Foods,Portland,
2430,05/21/2019,Large Layoff - 10 or more workers,195,Union Pacific,Portland,
2422,04/17/2019,Large Layoff - 10 or more workers,99,ERGOTRON,Tualatin,
2421,04/11/2019,Large Layoff - 10 or more workers,111,Georgia - Pacific,Coos Bay,
2386,02/06/2019,Large Layoff - 10 or more workers,138,Winnebago Industries,"Forest City, IA",
2375,01/15/2019,Large Layoff - 10 or more workers,75,Lost Valley Farm,Lexington,
2330,12/04/2018,Large Layoff - 10 or more workers,98,Thomson Reuters,Lake Oswego,
2325,11/28/2018,Large Layoff - 10 or more workers,99,"Ergotron, Inc",Tualatin,
2321,11/08/2018,Large Layoff - 10 or more workers,60,First Transit - GridWorks,Clackamas,
2319,10/31/2018,Large Layoff - 10 or more workers,92,Adventist Health,"Roseville, CA",
2317,10/18/2018,Small Layoff  1 – 10 workers,8,Sears Store Auto Center #06009,Portland,
2316,10/18/2018,Large Layoff - 10 or more workers,64,Sears Store #01079,Portland,
2306,09/10/2018,Large Layoff - 10 or more workers,52,Schmidt's Deodorant Company LLC,Portland,
2296,08/21/2018,Permanent closure,112,"Lowes / Orchard Supply Company, LLC","Mooresville, NC",
2283,06/06/2018,Permanent closure,146,Kah Nee Ta,Warm Springs,
2280,06/14/2018,Large Layoff - 10 or more workers,112,Acara Solutions dba Superior Talent Resources,Tualatin,
2279,06/12/2018,Permanent closure,46,Sunshine Dairy,Portland,
2264,05/16/2018,Large Layoff - 10 or more workers,90,BOISE CASCADE ELGIN SAWMILL,Elgin,
2252,03/26/2018,Permanent closure,136,Armstrong World Industries,"Lancaster, PA",
