Company,Location,Date,Employees Affected
Sheraton,Sioux Falls,05/13/2020,140
EROS,Sioux Falls /Garretson,04/23/2020,400
Bloomin' Brands Inc. (Outback Steakhouse),Sioux Falls,04/27/2020,70
Visionworks,Sioux Falls,04/04/2020,8
PBM Packaging Inc. (RR Donnelley),Howard,03/04/2020,56
Littlelfuse Inc.,Rapid City,02/25/2020,125
MetaBank,"Brookings, Sioux Falls",11/20/2019,74
Covington Care and Rehabilitation Center,Sioux Falls,05/31/2019,90
Mobridge Care and Rehabilitation Center,Mobridge,11/28/2018,67
TCF Bank,Sioux Falls,09/05/2018,145
Ditech,Rapid City,08/17/2018,39
Younkers (Bonton),Sioux Falls,06/05/2018,158
Wells Fargo & Co.,Aberdeen,03/27/2018,108
Molded Fiber Glass Companies,Aberdeen,02/15/2018,409
Bimbo Bakeries,Sioux Falls,09/08/2017,58
Buhler,Salem,03/09/2016,63
Nash Finch Company,Rapid City,02/03/2015,49
Wyndham Hotel Group,Aberdeen,09/09/2015,241
Asurion,Rapid City,11/04/2014,227
Capital One,Sioux Falls,06/24/2014,750
"Minnesota Rubber & Plastic
                                         (Quadion LLC)",Watertown,11/15/2013,171
Raven - Aerostar,Huron,09/20/2013,75
Sargento,North Sioux City,07/29/2013,39
"Communication Services for the Deaf, Inc.",Sioux Falls,04/22/2013,43
"Stream Global Services, Inc.",Vermillion,08/22/2012,180
Verifications,Aberdeen,05/07/2012,73
Verifications,Mitchell,05/07/2012,75
Hostess Brands,Sioux Falls,05/04/2012,10
Wells Fargo,Aberdeen,02/02/2012,66
Bosselman Travel Center,Rapid City,01/5/2012,30
"Rockwell Collins, Inc.",Ellsworth Air Force Base,10/24/2011,8
Alamo Group (SMC),Sioux Falls,10/20/2011,76
Premier Bankcard,Spearfish,05/23/2011,335
Communication Services for the                      Deaf (CSD),Sioux Falls,03/29/2010,79
Verety LLC,South Dakota,03/19/2010,1-5
Terex Load King,Elk Point,12/03/2009,73
Terex Load King,Elk Point,08/24/2009,10
Coventry Healthcare Inc.,Aberdeen,08/19/2009,73
Wells Fargo,Sioux Falls,07/30/2009,114
Merillat,Rapid City,07/17/2009,158
VeraSun Energy Corporation,Sioux Falls,05/25/2009,92
Terex Load King,Elk Point,05/01/2009,63
Hutchinson Technology Inc.,Sioux Falls,01/08/2009,275
MPC,North Sioux City,01/02/2009,45
MPC,North Sioux City,11/05/2008,89
"Student Financial Loan    Corporation 
                                           (SFLC)",Aberdeen,05/20/2008,18
Qwest,Sioux Falls,01/24/2008,58
Ideal Merchandising,"Apollo Beach, FL",12/06/2007,1
Artic Cat,Madison,11/12/2007,89
Gateway,North Sioux City,10/11/2007,60
Oak Valley Farms,Watertown,07/30/2007,225
Gillette Dairy,Rapid City,05/16/2007,48
