Company,Location,Layoff Start Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
Aviation Technical Services,Everett,6/4/2020,142,Layoff,Permanent,6/2/2020
WHC Payroll Co Sheraton Grand Seattle,Seattle,3/21/2020,503,Layoff,Temporary,6/1/2020
"Coast Wenatchee, LLC",Wenatchee,6/1/2020,58,Layoff,Permanent,6/1/2020
WHC Payroll Company / W Seattle,Seattle,3/21/2020,203,Layoff,Temporary,6/1/2020
"Marriott International Inc., dba Seattle Marriott Waterfront",Seattle,3/21/2020,166,Layoff,Temporary,6/1/2020
"Marriott Hotel Services, Inc., dba Seattle Marriott Bellevue",Bellevue,3/21/2020,129,Layoff,Temporary,6/1/2020
Hyatt Corporation / Thompson Seattle,Seattle,6/1/2020,49,Layoff,Temporary,5/29/2020
Hyatt Corporation / Thompson Seattle,Seattle,6/1/2020,50,Layoff,Permanent,5/29/2020
"Loews Seattle Operating Company, LLC",Seattle,5/27/2020,12,Layoff,Permanent,5/29/2020
"Loews Seattle Operating Company, LLC",Seattle,5/27/2020,55,Layoff,Temporary,5/29/2020
Happy Guests International d/b/a Salty's,"Seattle, Des Moines",3/15/2020,282,Layoff,Temporary,5/29/2020
Saint-Gobain,Puyallup,6/30/2020,96,Closure,Permanent,5/28/2020
Service Labs Inc. dba Pro.com,Seattle,5/22/2020,52,Layoff,Permanent,5/27/2020
Holland America Line NV,Seattle,6/2/2020,583,Layoff,Permanent,5/27/2020
Princess Cruise Lines Ltd,Seattle,6/2/2020,122,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/31/2020,106,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/31/2020,276,Layoff,Temporary,5/27/2020
Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/30/2020,152,Layoff,Temporary,5/27/2020
Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/30/2020,44,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt at Olive 8,Seattle,5/29/2020,123,Layoff,Temporary,5/27/2020
Hyatt Corporation / Hyatt at Olive 8,Seattle,5/29/2020,29,Layoff,Permanent,5/27/2020
"Gate Gourmet, Inc",Seattle,5/20/2020,207,Layoff,Permanent,5/20/2020
YMCA of Greater Seattle,Seattle,5/9/2020,122,Layoff,Temporary,5/19/2020
Renaissance Seattle Hotel,Seattle,6/1/2020,190,Layoff,Permanent,5/19/2020
"WeDriveU, Inc",Renton and Mukilteo,5/15/2020,73,Closure,Permanent,5/15/2020
Saalex Solutions Inc,Keyport,7/31/2020,51,Layoff,Permanent,5/15/2020
"Flying Food Group, LLC",Seattle,4/17/2020,153,Layoff,Permanent,5/14/2020
Electro Rent Corporation,Redmond,5/13/2020,1,Layoff,Temporary,5/13/2020
"Crest Logistics, LLC","Burbank, WA",5/11/2020,68,Closure,Permanent,5/11/2020
Cox Automotive,Kent,5/17/2020,123,Layoff,Temporary,5/11/2020
Lee Johnson Auto Family,"Everett, Kirkland, and Monroe",3/30/2020,169,Layoff,Temporary,5/8/2020
"Visionworks, Inc","Spokane, Vancouver, and Renton",4/4/2020,28,Layoff,Temporary,5/7/2020
"HDI Landing Gear USA, Inc",Everett,5/5/2020,3,Layoff,Permanent,5/5/2020
"Crescent Hotels & Resorts, LLC",Bellevue,3/11/2020,42,Layoff,Temporary,5/4/2020
"Cosmo Specialty Fibers, Inc",Cosmopolis,5/1/2020,132,Layoff,Temporary,5/1/2020
Regal Cinemas,Mountlake Terrace,3/16/2020,84,Layoff,Temporary,4/29/2020
Karcher North America,Camas,5/29/2020,95,Closure,Permanent,4/29/2020
IVI Hotel Management of Washington,Various locations in Washington,3/20/2020,337,Layoff,Permanent,4/29/2020
IVI Hotel Management of Washington,Various locations in Washington,3/20/2020,20,Layoff,Temporary,4/29/2020
Alcoa Intalco Works,Ferndale,6/21/2020,700,Layoff,Permanent,4/29/2020
The Hertz Corporation,Seattle,4/14/2020,111,Layoff,Permanent,4/28/2020
"Magic Leap, Inc",Seattle,6/21/2020,39,Closure,Permanent,4/27/2020
"Northwest Aerospace Technologies, Inc",Everett,4/24/2020,10,Layoff,Permanent,4/24/2020
"Safran Cabin Bellingham, Inc",Bellingham,4/23/2020,205,Layoff,Permanent,4/23/2020
"Hard Rock Cafe International STP, Inc",Seattle,4/13/2020,62,Layoff,Temporary,4/22/2020
Seattle Tennis Club,Seattle,5/1/2020,112,Layoff,Temporary,4/21/2020
Hexcel Corporation,Kent,4/20/2020,160,Layoff,Permanent,4/20/2020
Hexcel Corporation,Burlington,4/20/2020,128,Layoff,Permanent,4/20/2020
"G2 Secure Staff, LLC",Seattle,3/27/2020,232,Layoff,Temporary,4/17/2020
"IKO Pacific, Inc",Sumas,4/6/2020,37,Layoff,Temporary,4/17/2020
"Pier 1 Imports, Inc",DuPont,6/1/2020,49,Closure,Permanent,4/15/2020
"Guess, Inc",Tulalip,4/2/2020,30,Layoff,Temporary,4/14/2020
FS US Services Limited,Seattle,4/13/2020,2,Layoff,Permanent,4/14/2020
"PSF Mechanical, Inc",Seattle,3/25/2020,124,Layoff,Temporary,4/13/2020
"Leggett & Platt, Inc",Kirkland,4/13/2020,50,Layoff,Temporary,4/13/2020
"Warwick Corp, dba Warwick Seattle Hotel",Seattle,4/6/2020,106,Layoff,Temporary,4/13/2020
"Soundair Repair Group, LLC",Snohomish,4/12/2020,51,Layoff,Temporary,4/10/2020
Spokane Eye Clinic,Spokane,3/23/2020,294,Layoff,Temporary,4/10/2020
"Integrated Technologies, Inc dba LMI Aerospace",Everett,4/13/2020,25,Layoff,Temporary,4/10/2020
"Leonard's Metal Inc, dba LMI Aerospace",Auburn,4/13/2020,74,Layoff,Temporary,4/10/2020
Prospect International Airport Services Corp,Seattle,3/21/2020,125,Layoff,Temporary,4/9/2020
Oki Developments Inc,Various locations in Washington,3/17/2020,416,Layoff,Temporary,4/9/2020
"Toray Composite Materials America, Inc",Tacoma,4/9/2020,361,Layoff,Temporary,4/9/2020
"Superior Linen Service, Inc",,4/9/2020,57,Layoff,Temporary,4/9/2020
Tool Gauge and Machine Works,Tacoma,4/16/2020,1,Layoff,Temporary,4/9/2020
Pacific Northwest Ballet,Seattle,4/6/2020,733,Layoff,Temporary,4/9/2020
VSPOne Olympia,Lacey,4/10/2020,78,Layoff,Temporary,4/9/2020
Olympic Sports & Spine,King and Pierce Counties,4/13/2020,100,Layoff,Temporary,4/9/2020
Sellen Construction,Seattle,4/8/2020,262,Layoff,Temporary,4/8/2020
