Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
OEMMCCO Inc.,Kenosha,49,20200110,CL,03/31/2020,Machine Shops,Kenosha,Southeast
Semco Windows and Doors,Merrill,141,20200102,CL,12/31/2019,Wood Window & Door Mfg.,Lincoln,North Central
Eastek Automated Circuit,Menomonee Falls,36,20200128,WR,03/31/2020,Printed Circuit Assembly Mfg,Waukesha,WOW
FPM Heat Treating,Milwaukee,27,20200130,CL,04/01/2020,Metal Heat Treating,Milwaukee,Milwaukee
Marquis Yachts,Pulaski,344,20200130,CL,03/01/2020,Boat Bldg,Brown,Bay Area
US Bank,Milwaukee,62,20200203,WR,04/06/2020,Commercial Banking,Milwaukee,Milwaukee
Compass Group,Neenah,30,20200203,CL,03/31/2020,Janitorial Services,Winnebago,Fox Valley
"IDEXX Distribution, Inc.",Marshfield,38,20200214,CL,05/01/2020,Veterinary Services,Wood,North Central
"IDEXX Distribution, Inc.",Waukesha,13,20200214,CL,05/01/2020,Veterinary Services,Waukesha,WOW
Riddell Sports Group Inc.,Sun Prairie,109,20200217,CL,04/10/2020,Sporting Goods Stores,Dane,South Central
Bear Down Logistics Central,Sussex,95,20200218,CL,04/13/2020,Local Messengers &amp; Local Delivery,Waukesha,Waukesha-Ozaukee-Washington
Black Horse Carriers Inc.,Pewaukee,68,20200224,CL,02/24/2020,General Freight Trucking Long Distance TL,Waukesha,Waukesha-Ozaukee-Washington,Y
Cascio Music Co. Inc.,New Berlin,71,20200224,CL,04/20/2020,Musical Instrument &amp; Supplies Stores,Waukesha,Waukesha-Ozaukee-Washington,Y
Knueppel Healthcare Services Inc.,West Allis,44,20200302,CL,04/30/2020,Food Health Supplement Stores,Milwaukee,Milwaukee
"Everbrite, LLC",Milwaukee,116,20200304,CL,04/27/2020,Sign Mfg.,Milwaukee,Milwaukee
Hutchinson Technology Inc.,Eau Claire,112,20200318,WR,05/16/2020,Computer Storage Device Mfg,Eau Claire,West Central
Punch Bowl Social,Milwaukee,91,20200319,WR,03/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
"Sub-Zero Group, Inc.",Fitchburg,1043,20200320,CL,03/22/2020,Major Household Appliance Manufacturing,Dane,South Central,Y
Tower Clock Eye Center,"Green Bay, Manitowoc, Oconto, Shawano",75,20200320,CL,05/18/2020,Offices of Physicians exc Mental Health,"Brown, Manitowoc, Oconto, Shawano",Bay Area
Holiday Inn Convention Center Stevens Point,Stevens Point,143,20200323,WR,03/21/2020,Hotels &amp; Motels exc Casino Hotels,Portage,North Central
Visual Impressions Inc,Milwaukee,41,20200323,WR,03/20/2020,Commercial Screen Printing,Milwaukee,Milwaukee
"Big Dot of Happiness, LLC",Menomonie,57,20200323,WR,03/18/2020,Electronic Shipping and Mail Order Houses,Dunn,West Central
Stroh Die Cast LLC,Mauston,71,20200323,CL,05/16/2020,Nonferrous Mtl Die-Casting Foundries,Juneau,Western
Wisconsin Central School Bus,Milwaukee,90,20200323,WR,03/16/2020,School &amp; Employee Bus Trans,Milwaukee,Milwaukee
Wisconsin Central School Bus,New Richmond,48,20200323,WR,03/16/2020,School &amp; Employee Bus Trans,St. Croix,West Central
Clearwing Production Inc.,Milwaukee,25,20200323,WR,03/16/2020,Independent Artists Writers &amp; Performers,Milwaukee,Milwaukee
Hyatt Regency Milwaukee,Milwaukee,112,20200323,WR,03/16/2020,Hotels &amp; Motels exc Casino Hotels,Milwaukee,Milwaukee
Mickeys Linen and Towel Supply Inc,Milwaukee,48,20200323,WR,03/18/2020,Linen Supply,Milwaukee,Milwaukee
Black Shoe Hospitality,Milwaukee,155,20200323,WR,03/16/2020,Commercial Bakeries/Full Service Restaurants,Milwaukee,Milwaukee
Eddie Martini's Enterprises,Wauwatosa,30,20200323,WR,03/17/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Park Hotel Inc.,Madison,120,20200323,CL,03/22/2020,Hotels &amp; Motels exc Casino Hotels,Dane,South Central
HMS Host Corporation,Milwaukee,120,20200324,WR,03/20/2020,Limited-service restaurants,Milwaukee,Milwaukee
Holiday Inn &amp; Suites Wausau Rothschild,Rothschild,60,20200324,WR,03/24/2020,Hotels &amp; Motels exc Casino Hotels,Marathon,North Central,Y
